WORK_STRAM,JOB_NAME,JOB_INIT_DATE,FREQUENCY,USED_TOOL,new_name,SESSION_NAME
STG,m_STG_DWH_LOAD_UDMATTR_RCCODET,03-DEC-18,Daily,INFORMATICA,UDMATTR_RCCODET,s_m_STG_TRM_UDMATTR_RCCODET
STG,m_STG_DWH_LOAD_UDMCASEATTR10,02-DEC-18,Daily,INFORMATICA,UDMCASEATTR10,s_m_STG_TRM_UDMCASEATTR10
STG,m_STG_DWH_LOAD_UDM_FICA_REASONT,03-DEC-18,Daily,INFORMATICA,UDM_FICA_REASONT,s_m_STG_TRM_UDM_FICA_REASONT
STG,m_STG_DWH_LOAD_V_SOUCADCP,20-SEP-18,Daily,INFORMATICA,V_SOUCADCP,s_m_STG_TRM_V_SOUCADCP
STG,m_STG_DWH_LOAD_V_USR_NAME,04-JUL-18,Daily,INFORMATICA,V_USR_NAME,s_m_STG_TRM_V_USR_NAME
STG,m_STG_DWH_LOAD_WHTM_RETURN,08-OCT-18,Daily,INFORMATICA,WHTM_RETURN,s_m_STG_TRM_WHTM_RETURN
STG,m_STG_DWH_LOAD_ZBI_VERSION_HD,24-DEC-18,Daily,INFORMATICA,ZBI_VERSION_HD,s_m_STG_TRM_ZBI_VERSION_HD
STG,m_STG_DWH_LOAD_ZBI_VERSION_IT,24-DEC-18,Daily,INFORMATICA,ZBI_VERSION_IT,s_m_STG_TRM_ZBI_VERSION_IT
STG,m_STG_DWH_LOAD_ZDC_ACTIONS,30-DEC-18,Daily,INFORMATICA,ZDC_ACTIONS,s_m_STG_TRM_ZDC_ACTIONS
STG,m_STG_DWH_LOAD_ZDC_AMD_SRC,26-SEP-18,Daily,INFORMATICA,ZDC_AMD_SRC,s_m_STG_TRM_ZDC_AMD_SRC
STG,m_STG_DWH_LOAD_ZDC_AUD_ESC,19-DEC-18,Daily,INFORMATICA,ZDC_AUD_ESC,s_m_STG_TRM_ZDC_AUD_ESC
STG,m_STG_DWH_LOAD_ZDC_CBCR_DRDWT,15-APR-19,Daily,INFORMATICA,ZDC_CBCR_DRDWT,s_m_STG_TRM_ZDC_CBCR_DRDWT
STG,m_STG_DWH_LOAD_ZDC_CONT_TYPT,26-SEP-18,Daily,INFORMATICA,ZDC_CONT_TYPT,s_m_STG_TRM_ZDC_CONT_TYPT
STG,m_STG_DWH_LOAD_ZDC_DREG_REASONT,26-SEP-18,Daily,INFORMATICA,ZDC_DREG_REASONT,s_m_STG_TRM_ZDC_DREG_REASONT
STG,m_STG_DWH_LOAD_ZDC_EGPCT,20-SEP-18,Daily,INFORMATICA,ZDC_EGPCT,s_m_STG_TRM_ZDC_EGPCT
STG,m_STG_DWH_LOAD_ZDC_EGTCT,04-OCT-18,Daily,INFORMATICA,ZDC_EGTCT,s_m_STG_TRM_ZDC_EGTCT
STG,m_STG_DWH_LOAD_ZDC_EGTR,04-OCT-18,Daily,INFORMATICA,ZDC_EGTR,s_m_STG_TRM_ZDC_EGTR
